address,hop,amount_sent_BTC,transactions,first_seen_utc,last_seen_utc,sent_into,label,explorer
bc1q5x4qpqxh0yzns86rzs62syzgnwjjg5p9hv5l3f,1,6.31798929,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q5x4qpqxh0yzns86rzs62syzgnwjjg5p9hv5l3f
bc1qerwsppqhe6rq3tstlmmqfq9r5jwyxl2u2c3wjm,1,6.09993544,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qerwsppqhe6rq3tstlmmqfq9r5jwyxl2u2c3wjm
bc1qr6f02cel5rxpushezxnck36r7jj5d3yahfw6cg,1,5.14635458,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qr6f02cel5rxpushezxnck36r7jj5d3yahfw6cg
bc1qswz6hyqn5amvqdq3m9uhmn4zavzz7khwj5gr9e,1,5.00494514,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qswz6hyqn5amvqdq3m9uhmn4zavzz7khwj5gr9e
bc1qdh3cj62m4etpsntphmd4rsfk3mz60xk0lkxa80,1,5.00493338,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qdh3cj62m4etpsntphmd4rsfk3mz60xk0lkxa80
bc1q2qefl5qsvfsuay5dljjd6cyl75yej6r6zazrjg,1,4.999967,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q2qefl5qsvfsuay5dljjd6cyl75yej6r6zazrjg
bc1qw7eacvq9q2cnlvrcyn3j08sj2tw7laurktzu2t,1,4.999967,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qw7eacvq9q2cnlvrcyn3j08sj2tw7laurktzu2t
bc1qn99nejjagm8zakhlrsxqjv3vxpxa95lrqgplfs,1,4.999967,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qn99nejjagm8zakhlrsxqjv3vxpxa95lrqgplfs
bc1qp8sev2h59907ty5za8hqk4e0acg3x8pxvn9s27,1,4.999967,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qp8sev2h59907ty5za8hqk4e0acg3x8pxvn9s27
bc1qa7j36cflcuxe420gwg9gup948efpa2fap2xp38,1,4.99994954,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qa7j36cflcuxe420gwg9gup948efpa2fap2xp38
bc1qqljly534x8la29h4p6pgqxaekpc9jltm47d40u,1,4.87967681,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qqljly534x8la29h4p6pgqxaekpc9jltm47d40u
bc1q29sveqc780533zuc4z4ulptfm0kcckcvuts8xu,1,4.82233854,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q29sveqc780533zuc4z4ulptfm0kcckcvuts8xu
bc1q5ft20ulaz8r89u9x5jer4gv29tau35pquh82c8,1,4.57692553,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1q5ft20ulaz8r89u9x5jer4gv29tau35pquh82c8
bc1qpcks3r95my9aja4aq8zvtffz0tv7e2l4xlt4ly,1,4.4681367,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qpcks3r95my9aja4aq8zvtffz0tv7e2l4xlt4ly
bc1qpngwuwl8ld26xa43v7wg5hxgc5ul8a0tzdcmw7,1,4.399967,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qpngwuwl8ld26xa43v7wg5hxgc5ul8a0tzdcmw7
bc1qhvzp967l6674xfk5xp2llwr5ggaytzmut40j8f,1,4.060487,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qhvzp967l6674xfk5xp2llwr5ggaytzmut40j8f
bc1qre8aet75kcaacuey7sxkmxevfkcgd44y433t5x,1,3.99995098,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qre8aet75kcaacuey7sxkmxevfkcgd44y433t5x
bc1qn6dz0py8yun29kjhzvhj40sv0jy8554u6glaw4,1,3.95698325,1,2026-07-30 01:36,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,,https://mempool.space/address/bc1qn6dz0py8yun29kjhzvhj40sv0jy8554u6glaw4
